"9901 - 108th Street NW (Impark Lot #237) Edmonton, AB",C$5
"Impark Lot #384 Edmonton, AB",10 min
"9907 106 Street (Impark Lot #389) Edmonton, AB",C$6
"Cascadia Edmonton, AB",12 min
"Matrix Hotel (Impark Lot #383) Edmonton, AB",C$12
"Highfield Place Edmonton, AB",13 min
"Diamond Parking Lot CE24 Edmonton, AB",$24.75
"10047 - 109 Street (Impark Lot #144) Edmonton, AB",C$5
"Baker Centre Parking Edmonton, AB",$6.75
"Mayfair North - Impark Lot #91 Edmonton, AB",C$5
"E11even Edmonton, AB",C$14.50
"10049 - 107 Street (Impark Lot #256) Edmonton, AB",C$8
"Azure Edmonton, AB",C$9
"10055 - 110th Street NW (Impark Lot #425) Edmonton, AB",15 min
"107 Edmonton, AB",C$9
"First Edmonton Place (Impark Lot #274) Edmonton, AB",C$5
"Days Inn by Wyndham Edmonton Downtown Hotel Edmonton, AB",C$5
"10605 Jasper Avenue (Impark Lot 32-2) Edmonton, AB",C$7
"Impark Lot 32-1 Edmonton, AB",C$7
"Edmonton General Hospital Edmonton, AB",C$4.50
"Holiday Inn Express (Impark Lot #352) Edmonton, AB",C$4
"100 Ave & 105 Street (Impark Lot #9) Edmonton, AB",C$6
"Intact Edmonton, AB",C$5
"10758 Jasper Ave Edmonton, AB",C$5
"First Class (Impark Lot #21) Edmonton, AB",C$6
"Capital Centre (Impark Lot #312) Edmonton, AB",C$4
"Impark Lot #40 Edmonton, AB",18 min
"Jasper 105 Dental Building Edmonton, AB",$6.75
"10124 - 108th Street NW (Impark Lot #66) Edmonton, AB",C$6
"Baker Clinic (Impark Lot #41) Edmonton, AB",C$5
"11104 Jasper Avenue NW (Impark Lot #394) Edmonton, AB",C$4
"Energy Square (Impark Lot #70) Edmonton, AB",20 min
"10164 107 Street NW Edmonton, AB",C$5
"10120 - 112th Street NW (Impark Lot #238) Edmonton, AB",C$4
"10109 106 St NW Edmonton, AB",21 min
"10008 - 103rd Street NW (Impark Lot #380) Edmonton, AB",C$5
"10134 - 111th Street NW (Impark Lot #333) Edmonton, AB",C$4
"10133 - 113 St (Impark Lot #505) Edmonton, AB",C$3
"10160 106 Street Northwest Edmonton, AB",23 min
"NorQuest College - Lot G Edmonton, AB",C$2
"Zebra Parkade (Impark Lot #303) Edmonton, AB",C$6
"Mac's Convenience Store Edmonton, AB",$6.75
"101 Ave & 105 Street (Impark Lot #154) Edmonton, AB",C$5
"10157 106 St Edmonton, AB",24 min
"Academy Place Parkade Edmonton, AB",$9.75
"Coast Edmonton Plaza Hotel (Impark Lot #161) Edmonton, AB",C$5
"10135 104 St NW Edmonton, AB",24 min
"Impark Lot #366 Edmonton, AB",C$3
"C310 Edmonton, AB",$5.75
"Knoll Building (Impark Lot #444) Edmonton, AB",C$5
"University of Alberta, North Campus - Windsor Car Park Edmonton, AB",C$4.50
"University of Alberta, North Campus - Lot L Edmonton, AB",C$4.50
"Edmonton Transit - Stadium Edmonton, AB",Free
"Edmonton Transit - Belvedere Station (129 Ave NW Lot) Edmonton, AB",Free
"Edmonton Transit - Belvedere Station (Fort Rd Lot) Edmonton, AB",Free
"Century Park Edmonton, AB",C$9
"Clareview East - South Lot Edmonton, AB",Free
"Clareview East - North Lot Edmonton, AB",Free
"Edmonton Transit - Clareview West Edmonton, AB",Free
