Lot Name,Price,Duration
"City Hall Ottawa, ON",C$8,2 hours
"St Theresa Parish Ottawa, ON",C$14,2 hours
"Barrister Garage Ottawa, ON",C$10,2 hours
"One 60 Elgin Ottawa, ON",C$5,2 hours
"66 Slater St Ottawa, ON",C$18,2 hours
"Impark Lot #97 Ottawa, ON",C$5,2 hours
"St John's Church Ottawa, ON",C$12,2 hours
"Tribeca Ottawa, ON",C$13,2 hours
"CF Rideau Centre - Blue Garage (Impark Lot #4) Ottawa, ON",C$8,2 hours
"University of Ottawa, Main Campus - Desmarais Ottawa, ON",C$9,2 hours
"National Arts Centre Ottawa, ON",C$12,2 hours
"University of Ottawa, Main Campus - Lot K Ottawa, ON",C$9,2 hours
"Edifice Sir Richard Scott/Bibliothèque Ottawa, ON",C$18,2 hours
"95 Gloucester St Ottawa, ON",C$13,2 hours
"Impark Lot #8 Ottawa, ON",C$3,2 hours
"88 Metcalfe St Ottawa, ON",C$20,2 hours
"CF Centre Rideau - Red Garage (Impark Lot #3) Ottawa, ON",C$8,2 hours
"234 Laurier Ave W Ottawa, ON",C$12,2 hours
"261 Somerset St W Ottawa, ON",C$16,2 hours
"96-100 Nepean St Ottawa, ON",C$3,2 hours
"World Exchange Plaza (Impark Lot #9) Ottawa, ON",C$10,2 hours
"Novotel Ottawa, ON",C$20,2 hours
"University of Ottawa, Main Campus - Lot C Ottawa, ON",14 min,to destination
"CF Rideau Centre - Green Lot (Impark Lot #113) Ottawa, ON",C$8,2 hours
"260 MacLaren St Ottawa, ON",C$5,2 hours
"Sheraton Hotel Valet (Impark Lot 47) Ottawa, ON",16 min,to destination
"St. Joseph's Parish Ottawa, ON",C$5,2 hours
"University of Ottawa, Main Campus - Lot B Ottawa, ON",C$11,2 hours
"138 Gloucester St Ottawa, ON",C$13,2 hours
"Fairmont Château Laurier Ottawa, ON",C$25,2 hours
"L'Esplanade AutoPark Ottawa, ON",C$15,2 hours
"700 Sussex Drive Ottawa, ON",C$16,2 hours
"311 Somerset St W Ottawa, ON",C$12,2 hours
"307 Lisgar St Ottawa, ON",C$11,2 hours
"Market Garage Ottawa, ON",C$15,2 hours
"190 Besserer St Ottawa, ON",C$8,2 hours
"265 Laurier Ave W Ottawa, ON",C$12,2 hours
"University of Ottawa, Main Campus - Brooks Ottawa, ON",C$9,2 hours
"267 O'Connor St Ottawa, ON",C$13.50,2 hours
"101 George St Ottawa, ON",C$21,2 hours
"343 Somerset St W Ottawa, ON",C$12,2 hours
"Sun Life Financial Centre (Impark Lot #38) Ottawa, ON",C$16,2 hours
"348 Somerset St W Ottawa, ON",C$11,2 hours
"22 York St Ottawa, ON",C$15,2 hours
"328 Laurier Ave W Ottawa, ON",C$7,2 hours
"Andaz Hotel Ottawa, ON",C$20,2 hours
"Gloucester Ottawa, ON",C$8,2 hours
"Slater Parking Lot Ottawa, ON",C$10,2 hours
"357 Lisgar St Ottawa, ON",C$4,2 hours
"264 Rideau St Ottawa, ON",C$10,2 hours
"Parc-o-bus Saint-Dominique Ottawa, ON",Free,2 hours
"Blair Park&Ride Ottawa, ON",N/A,None
"Parc-o-bus Freeman Ottawa, ON",Free,2 hours
"Greenboro Ottawa, ON",Free,2 hours
"Rivermead Park and Ride Ottawa, ON",Free,2 hours
"Parc-o-bus Saint-Alexandre Ottawa, ON",Free,2 hours
"Baseline Ottawa, ON",Free,2 hours
"Parc-o-bus Lorrain Ottawa, ON",Free,2 hours
"Parc-o-bus Sainte-Rose-de-Lima Ottawa, ON",Free,2 hours
"Jeanne d'Arc Park&Ride Ottawa, ON",N/A,None
"Leitrim Ottawa, ON",Free,2 hours
"Fallowfield Ottawa, ON",Free,2 hours
"Place d’Orléans Ottawa, ON",Free,2 hours
